feature,coef
kek,-0.2846575805593896
iphone,-0.2848550758647932
ai,-0.2900122423333238
tim,-0.2926721079138163
jangan,-0.29411217818644525
judol,-0.29412177513206694
kosong,-0.2986509490213247
banyak,-0.29958482455428226
kdm,-0.29958784379474496
isi,-0.3067655092369792
2o29,-0.30682002436434364
so,-0.3071042835713355
sudah,-0.30801027715307616
anis,-0.3196741029893775
pandji,-0.3229434156265294
in,-0.32491559491747074
kocak,-0.3252370076451737
siapa,-0.3262423922966369
kita,-0.3317435580054791
wkwkwk,-0.33978497323828083
doang,-0.34363302606180623
kah,-0.34460427094954604
ngomong,-0.3485439888896924
kalau,-0.3532388745941471
baca,-0.35399516572377937
dipo,-0.3545643280515641
kerja,-0.35839459748338987
tempo,-0.3640715585512729
anies,-0.36644834753432826
menit,-0.36981062291016686
prabowo,-0.37450916563208314
tapi,-0.3785218929631409
drift,-0.38186440247407
yapping,-0.3834064029912949
dia,-0.39416176880864906
si,-0.39893465720378174
tanya,-0.4005900686490343
mending,-0.4065262538439574
huawei,-0.408535204601193
mau,-0.4121960893017883
omon,-0.4154966649846982
bukan,-0.41851250140867025
modif,-0.418691004368241
pake,-0.4192820861147215
dan,-0.41947916513581396
lah,-0.42575063526940415
iya,-0.42695996654099305
lagi,-0.428760949546036
bg,-0.43089061706156334
ziko,-0.4314092399347446
video,-0.4323522066369391
mana,-0.43358780155033144
anak,-0.4419611908779923
harus,-0.44721703923830664
kok,-0.4510522053783703
buzzer,-0.45251577980536206
dulu,-0.4550276488487568
tidak,-0.4569124586492593
gd,-0.4605701949231958
review,-0.46308752026859545
masih,-0.4685912302907067
punya,-0.47236697441743175
wkwk,-0.47481487339050193
liat,-0.47715374012276185
yang,-0.48387551536129064
kan,-0.4933010437884307
wapres,-0.5076984564692134
sama,-0.511489833393857
bisa,-0.5123583796200865
lebih,-0.5166139690942527
nonton,-0.5179765023280497
dong,-0.5204316167187849
bapak,-0.521586074106188
ke,-0.5403898609536489
buat,-0.562163089753988
juga,-0.566465363763463
indonesia,-0.5768377617863495
komen,-0.5826344093601762
om,-0.5830082352802985
saya,-0.5917244974605184
hp,-0.5940059161690908
jawab,-0.5952839168189243
jadi,-0.6302578589971755
motor,-0.6322766357813044
lu,-0.6668264845865322
dislike,-0.6933080510339416
presiden,-0.734059470131556
itu,-0.779448349106342
ya,-0.7972501135708415
pak,-0.8153114500941328
mas,-0.8839621110849846
ada,-0.9704898741915118
ahok,-1.0625835331833364
ini,-1.1206402559381605
mobil,-1.133950389101446
beli,-1.1373723693573192
apa,-1.1416436976530608
yg,-1.1466263216723966
nya,-1.1884273029812313
bang,-1.275653509998664
